Content ID,Type,Category,Sentiment,Score
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,Studying,negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,Studying,negative,10
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,Studying,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,Studying,negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,Studying,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,Studying,neutral,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,Studying,positive,70
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,Studying,negative,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,Studying,neutral,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,Studying,neutral,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,Studying,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,Studying,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,Studying,negative,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,Studying,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,Studying,positive,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,Studying,neutral,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,Studying,neutral,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,Studying,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,Studying,neutral,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,Studying,negative,12
97522e57-d9ab-4bd6-97bf-c24d952602d2,like,Studying,positive,50
97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,Studying,positive,60
97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,Studying,negative,12
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,Studying,negative,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,Studying,negative,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,Studying,positive,70
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,Studying,positive,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,Studying,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,Studying,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,Studying,neutral,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,Studying,positive,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,Studying,negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,Studying,positive,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,Studying,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,Studying,negative,10
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,Studying,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,want,Studying,positive,70
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,Studying,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,Studying,neutral,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,Studying,negative,12
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,Studying,negative,5
9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,healthy eating,negative,10
9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,healthy eating,positive,45
9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,healthy eating,neutral,35
9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,healthy eating,negative,15
9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,healthy eating,negative,5
9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,healthy eating,negative,0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,healthy eating,negative,5
9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,healthy eating,positive,50
9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,healthy eating,positive,65
9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,healthy eating,positive,60
9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,healthy eating,neutral,20
9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,healthy eating,neutral,35
9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,healthy eating,positive,65
9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,healthy eating,positive,50
230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,healthy eating,negative,5
230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,healthy eating,positive,75
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,healthy eating,positive,72
230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,healthy eating,negative,15
230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,healthy eating,positive,70
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,healthy eating,positive,72
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,healthy eating,positive,30
230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,healthy eating,positive,60
230c4e4d-70c3-461d-b42c-ec09396efb3f,like,healthy eating,positive,50
230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,healthy eating,negative,5
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,healthy eating,positive,30
230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,healthy eating,negative,10
230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,healthy eating,neutral,35
230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,healthy eating,positive,60
230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,healthy eating,positive,75
230c4e4d-70c3-461d-b42c-ec09396efb3f,want,healthy eating,positive,70
230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,healthy eating,negative,5
230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,healthy eating,negative,10
230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,healthy eating,negative,10
230c4e4d-70c3-461d-b42c-ec09396efb3f,want,healthy eating,positive,70
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,healthy eating,positive,30
230c4e4d-70c3-461d-b42c-ec09396efb3f,love,healthy eating,positive,65
230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,healthy eating,positive,60
230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,healthy eating,negative,0
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,healthy eating,positive,72
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,healthy eating,positive,72
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,healthy eating,positive,72
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,healthy eating,positive,30
356fff80-da4d-4785-9f43-bc1261031dc6,worried,technology,negative,12
356fff80-da4d-4785-9f43-bc1261031dc6,want,technology,positive,70
356fff80-da4d-4785-9f43-bc1261031dc6,heart,technology,positive,60
356fff80-da4d-4785-9f43-bc1261031dc6,scared,technology,negative,15
356fff80-da4d-4785-9f43-bc1261031dc6,heart,technology,positive,60
356fff80-da4d-4785-9f43-bc1261031dc6,hate,technology,negative,5
356fff80-da4d-4785-9f43-bc1261031dc6,indifferent,technology,neutral,20
01ab84dd-6364-4236-abbb-3f237db77180,scared,food,negative,15
3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,dogs,positive,70
3f8590c7-6ab2-4973-805a-90cdec355f05,heart,dogs,positive,60
3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,dogs,positive,45
3f8590c7-6ab2-4973-805a-90cdec355f05,worried,dogs,negative,12
3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,dogs,negative,0
3f8590c7-6ab2-4973-805a-90cdec355f05,heart,dogs,positive,60
3f8590c7-6ab2-4973-805a-90cdec355f05,hate,dogs,negative,5
3f8590c7-6ab2-4973-805a-90cdec355f05,like,dogs,positive,50
3f8590c7-6ab2-4973-805a-90cdec355f05,peeking,dogs,neutral,35
3f8590c7-6ab2-4973-805a-90cdec355f05,heart,dogs,positive,60
3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,dogs,negative,0
3f8590c7-6ab2-4973-805a-90cdec355f05,want,dogs,positive,70
3f8590c7-6ab2-4973-805a-90cdec355f05,interested,dogs,positive,30
3f8590c7-6ab2-4973-805a-90cdec355f05,hate,dogs,negative,5
3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,dogs,positive,45
3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,dogs,negative,10
3f8590c7-6ab2-4973-805a-90cdec355f05,worried,dogs,negative,12
3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,dogs,positive,70
3f8590c7-6ab2-4973-805a-90cdec355f05,want,dogs,positive,70
3f8590c7-6ab2-4973-805a-90cdec355f05,super love,dogs,positive,75
3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,dogs,negative,10
3f8590c7-6ab2-4973-805a-90cdec355f05,scared,dogs,negative,15
3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,dogs,neutral,20
3f8590c7-6ab2-4973-805a-90cdec355f05,interested,dogs,positive,30
3f8590c7-6ab2-4973-805a-90cdec355f05,scared,dogs,negative,15
3f8590c7-6ab2-4973-805a-90cdec355f05,scared,dogs,negative,15
3f8590c7-6ab2-4973-805a-90cdec355f05,interested,dogs,positive,30
3f8590c7-6ab2-4973-805a-90cdec355f05,interested,dogs,positive,30
3f8590c7-6ab2-4973-805a-90cdec355f05,worried,dogs,negative,12
3f8590c7-6ab2-4973-805a-90cdec355f05,scared,dogs,negative,15
3f8590c7-6ab2-4973-805a-90cdec355f05,heart,dogs,positive,60
3f8590c7-6ab2-4973-805a-90cdec355f05,heart,dogs,positive,60
3f8590c7-6ab2-4973-805a-90cdec355f05,interested,dogs,positive,30
3f8590c7-6ab2-4973-805a-90cdec355f05,heart,dogs,positive,60
3f8590c7-6ab2-4973-805a-90cdec355f05,want,dogs,positive,70
3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,dogs,negative,0
3f8590c7-6ab2-4973-805a-90cdec355f05,hate,dogs,negative,5
3f8590c7-6ab2-4973-805a-90cdec355f05,like,dogs,positive,50
3f8590c7-6ab2-4973-805a-90cdec355f05,love,dogs,positive,65
3f8590c7-6ab2-4973-805a-90cdec355f05,adore,dogs,positive,72
e5490118-90d5-4572-ab1c-1fbc87b8d9ca,want,technology,positive,70
e5490118-90d5-4572-ab1c-1fbc87b8d9ca,super love,technology,positive,75
e5490118-90d5-4572-ab1c-1fbc87b8d9ca,heart,technology,positive,60
e5490118-90d5-4572-ab1c-1fbc87b8d9ca,worried,technology,negative,12
0bedca96-fb76-4287-a83c-17330ed39cce,adore,soccer,positive,72
0bedca96-fb76-4287-a83c-17330ed39cce,indifferent,soccer,neutral,20
0bedca96-fb76-4287-a83c-17330ed39cce,worried,soccer,negative,12
0bedca96-fb76-4287-a83c-17330ed39cce,intrigued,soccer,positive,45
0bedca96-fb76-4287-a83c-17330ed39cce,want,soccer,positive,70
0bedca96-fb76-4287-a83c-17330ed39cce,hate,soccer,negative,5
0bedca96-fb76-4287-a83c-17330ed39cce,love,soccer,positive,65
0bedca96-fb76-4287-a83c-17330ed39cce,adore,soccer,positive,72
0bedca96-fb76-4287-a83c-17330ed39cce,cherish,soccer,positive,70
0bedca96-fb76-4287-a83c-17330ed39cce,like,soccer,positive,50
0bedca96-fb76-4287-a83c-17330ed39cce,love,soccer,positive,65
b18cb63f-4c8e-44ee-a47f-541e95191d11,want,public speaking,positive,70
b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,public speaking,neutral,20
b18cb63f-4c8e-44ee-a47f-541e95191d11,dislike,public speaking,negative,10
b18cb63f-4c8e-44ee-a47f-541e95191d11,want,public speaking,positive,70
b18cb63f-4c8e-44ee-a47f-541e95191d11,like,public speaking,positive,50
b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,public speaking,neutral,20
b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,public speaking,positive,60
b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,public speaking,negative,15
b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,public speaking,positive,72
b18cb63f-4c8e-44ee-a47f-541e95191d11,like,public speaking,positive,50
b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,public speaking,positive,45
b18cb63f-4c8e-44ee-a47f-541e95191d11,cherish,public speaking,positive,70
b18cb63f-4c8e-44ee-a47f-541e95191d11,peeking,public speaking,neutral,35
b18cb63f-4c8e-44ee-a47f-541e95191d11,worried,public speaking,negative,12
b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,public speaking,positive,45
b18cb63f-4c8e-44ee-a47f-541e95191d11,super love,public speaking,positive,75
b18cb63f-4c8e-44ee-a47f-541e95191d11,cherish,public speaking,positive,70
b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,public speaking,positive,60
b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,public speaking,negative,15
b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,public speaking,negative,15
b18cb63f-4c8e-44ee-a47f-541e95191d11,hate,public speaking,negative,5
b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,public speaking,negative,0
b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,public speaking,negative,0
b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,public speaking,positive,72
b18cb63f-4c8e-44ee-a47f-541e95191d11,dislike,public speaking,negative,10
b18cb63f-4c8e-44ee-a47f-541e95191d11,like,public speaking,positive,50
b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,public speaking,positive,60
b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,public speaking,positive,45
b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,public speaking,positive,72
b18cb63f-4c8e-44ee-a47f-541e95191d11,worried,public speaking,negative,12
b18cb63f-4c8e-44ee-a47f-541e95191d11,like,public speaking,positive,50
b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,public speaking,neutral,20
b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,public speaking,negative,15
b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,public speaking,positive,72
b18cb63f-4c8e-44ee-a47f-541e95191d11,hate,public speaking,negative,5
b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,public speaking,negative,15
b18cb63f-4c8e-44ee-a47f-541e95191d11,want,public speaking,positive,70
b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,public speaking,negative,15
0be59876-d70c-486c-8e0b-a06bef7a2cd6,cherish,tennis,positive,70
0be59876-d70c-486c-8e0b-a06bef7a2cd6,worried,tennis,negative,12
0be59876-d70c-486c-8e0b-a06bef7a2cd6,indifferent,tennis,neutral,20
0be59876-d70c-486c-8e0b-a06bef7a2cd6,super love,tennis,positive,75
0be59876-d70c-486c-8e0b-a06bef7a2cd6,worried,tennis,negative,12
0be59876-d70c-486c-8e0b-a06bef7a2cd6,indifferent,tennis,neutral,20
0be59876-d70c-486c-8e0b-a06bef7a2cd6,super love,tennis,positive,75
0be59876-d70c-486c-8e0b-a06bef7a2cd6,worried,tennis,negative,12
0be59876-d70c-486c-8e0b-a06bef7a2cd6,intrigued,tennis,positive,45
0be59876-d70c-486c-8e0b-a06bef7a2cd6,peeking,tennis,neutral,35
0be59876-d70c-486c-8e0b-a06bef7a2cd6,scared,tennis,negative,15
0be59876-d70c-486c-8e0b-a06bef7a2cd6,scared,tennis,negative,15
0be59876-d70c-486c-8e0b-a06bef7a2cd6,hate,tennis,negative,5
0be59876-d70c-486c-8e0b-a06bef7a2cd6,heart,tennis,positive,60
0be59876-d70c-486c-8e0b-a06bef7a2cd6,super love,tennis,positive,75
0be59876-d70c-486c-8e0b-a06bef7a2cd6,worried,tennis,negative,12
0be59876-d70c-486c-8e0b-a06bef7a2cd6,super love,tennis,positive,75
0be59876-d70c-486c-8e0b-a06bef7a2cd6,hate,tennis,negative,5
0be59876-d70c-486c-8e0b-a06bef7a2cd6,heart,tennis,positive,60
0be59876-d70c-486c-8e0b-a06bef7a2cd6,want,tennis,positive,70
0be59876-d70c-486c-8e0b-a06bef7a2cd6,intrigued,tennis,positive,45
0be59876-d70c-486c-8e0b-a06bef7a2cd6,peeking,tennis,neutral,35
0be59876-d70c-486c-8e0b-a06bef7a2cd6,interested,tennis,positive,30
0be59876-d70c-486c-8e0b-a06bef7a2cd6,heart,tennis,positive,60
0be59876-d70c-486c-8e0b-a06bef7a2cd6,peeking,tennis,neutral,35
0be59876-d70c-486c-8e0b-a06bef7a2cd6,intrigued,tennis,positive,45
0be59876-d70c-486c-8e0b-a06bef7a2cd6,peeking,tennis,neutral,35
0be59876-d70c-486c-8e0b-a06bef7a2cd6,cherish,tennis,positive,70
0be59876-d70c-486c-8e0b-a06bef7a2cd6,super love,tennis,positive,75
0be59876-d70c-486c-8e0b-a06bef7a2cd6,cherish,tennis,positive,70
0be59876-d70c-486c-8e0b-a06bef7a2cd6,dislike,tennis,negative,10
0be59876-d70c-486c-8e0b-a06bef7a2cd6,heart,tennis,positive,60
0be59876-d70c-486c-8e0b-a06bef7a2cd6,hate,tennis,negative,5
0be59876-d70c-486c-8e0b-a06bef7a2cd6,hate,tennis,negative,5
0be59876-d70c-486c-8e0b-a06bef7a2cd6,peeking,tennis,neutral,35
0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,tennis,negative,0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,cherish,tennis,positive,70
0be59876-d70c-486c-8e0b-a06bef7a2cd6,dislike,tennis,negative,10
0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,tennis,negative,0
